Номер;Район;Тип дома;Общая;Жилая;Кухня;Цена. тыс. руб.
C_1     ;ЮМР;блочный;40;20;10;1596
C_40    ;Центр;блочный;37;17;8;1344
C_76    ;ЧМР;блочный;38;18;9;1148
C_77    ;ЧМР;блочный;27;14;6;686
C_78    ;ЧМР;блочный;30;17;6;1008
C_79    ;СМР;кирпичный;34;17;12;1176
C_101   ;40-лет Победы;блочный;35;18;7;1140
C_102   ;40-лет Победы;блочный;40;20;10;1450
C_103   ;40-лет Победы;блочный;40;20;10;1400
C_104   ;40-лет Победы;блочный;44;22;11;980
C_105   ;Авиагородок;блочный;40;20;10;1250
C_106   ;40-лет Победы;кирпичный;43;16;10.2;1500
C_107   ;Витаминкомбинат;блочный;50;20;10;1600
C_110   ;ГМР;монолитный;50.5;20;12;1385
C_111   ;ЗИП;монолитный;40;20;10;940
C_112   ;ЗИП;блочный;44;20;10.8;1000
C_113   ;ККБ;монолитный;32;16;6.5;1020
C_114   ;ККБ;кирпичный;55;20;19;1550
C_115   ;ККБ;кирпичный;52;20;16;1350
C_116   ;КМР;блочный;30;15;7;1250
C_117   ;КМР;блочный;40;20;10;1500
C_118   ;КМР;блочный;34;20;7.5;1300
C_119   ;ФМР;блочный;40;20;10;1350
C_120   ;ФМР;кирпичный;30;17;6;1200
C_121   ;СМР;кирпичный;33;19.5;6.5;1250
C_122   ;СХИ;блочный;40;18;10;1480
C_123   ;СХИ;блочный;42;22;10;1300
C_124   ;ФМР;кирпичный;32;17;11;1300
C_125   ;Центр;кирпичный;29;17.5;8;1100
C_126   ;Центр;кирпичный;30;14;8.5;1500
C_128   ;ЧМР;кирпичный;30;17;6.5;1250
C_129   ;ЮМР;блочный;40;20;10;1280
C_130   ;ЮМР;монолитный;42;19;12.5;1500
C_260   ;ЗИП;блочный;40;20;10.5;1100
C_261   ;ЗИП;блочный;51;20;11;1650
C_262   ;ЗИП;блочный;54;23;12;1200
C_263   ;ЗИП;блочный;44;22;10;1150
C_264   ;ЗИП;блочный;53;20;15;1450
C_265   ;ЗИП;блочный;40;20;10;1450
C_266   ;ЗИП;блочный;40;20;10;1450
C_267   ;ЗИП;кирпичный;40;18;12;1256.47
C_268   ;ЗИП;блочный;40;20;10;1358
C_269   ;ЗИП;кирпичный;47.3;20;12;1250
C_270   ;ЗИП;кирпичный;53;20;15;1450
C_271   ;ЗИП;блочный;55;20;14;1470.34
C_272   ;ЗИП;блочный;40;17.5;8;1350
C_273   ;ЗИП;блочный;34;18;7;950
C_274   ;ЗИП;кирпичный;35;23;7;1250
C_275   ;ЗИП;кирпичный;32;17;10;1200
C_276   ;ЗИП;блочный;40;20;10;1420
C_277   ;ЗИП;блочный;32;17;8;1200
C_278   ;ЗИП;кирпичный;36;18;8;1400
C_279   ;ЗИП;блочный;40;20;10;1390
C_280   ;ЗИП;блочный;44;21;11;900
C_281   ;40-лет Победы;кирпичный;43;23;11;840
C_283   ;40-лет Победы;кирпичный;55;20;14;1470.34
C_284   ;40-лет Победы;кирпичный;46;20;13;1390
C_285   ;40-лет Победы;блочный;40;20;10;1230
C_286   ;40-лет Победы;блочный;51.4;20;11;1650
C_287   ;40-лет Победы;блочный;40;19;10;1350
C_288   ;40-лет Победы;блочный;51;20;10;1650
C_289   ;40-лет Победы;блочный;40;19;10;1300
C_291   ;40-лет Победы;кирпичный;46;20;10;1500
C_292   ;40-лет Победы;кирпичный;55;20;14;1485
C_293   ;40-лет Победы;кирпичный;55;20;18;1450
C_294   ;40-лет Победы;блочный;40;20;10;1450
C_295   ;40-лет Победы;блочный;40;20;10;1450
C_296   ;40-лет Победы;кирпичный;34;8;6;1400
C_297   ;40-лет Победы;кирпичный;43;16;10;1370
C_298   ;40-лет Победы;кирпичный;40.8;19.8;12;1300
C_299   ;40-лет Победы;блочный;40;20;10;1250
C_300   ;40-лет Победы;кирпичный;31;18;6;1200
C_301   ;40-лет Победы;кирпичный;37;19;12;1200
C_302   ;40-лет Победы;кирпичный;55;20;18;1450
C_303   ;40-лет Победы;кирпичный;48;22;12;1350
C_304   ;40-лет Победы;кирпичный;35;19;13;1150
C_305   ;40-лет Победы;кирпичный;46;20;10;1500
C_306   ;40-лет Победы;кирпичный;40;20;10;1450
C_307   ;40-лет Победы;кирпичный;45;18.3;14.8;1400
C_308   ;40-лет Победы;кирпичный;40.8;19.8;12;1300
C_309   ;40-лет Победы;кирпичный;31;18;6;1200
C_472   ;КМР;каркасный;23;12;5;1161
C_473   ;Мосты;кирпичный;25;18;6;1300.05
C_475   ;Рос-кая;кирпичный;26;16;10;702
C_482   ;Мосты;блочный;28;14;8;702
C_489   ;КМР;блочный;29;15;6.5;1444.5
C_493   ;Мосты;кирпичный;30;16;6;1150.2
C_494   ;ПМР;каркасный;30;17;6;1201.5
C_510   ;ЗИП;каркасный;31;24;7;945
C_511   ;Мосты;кирпичный;31;17;6;1300.05
C_512   ;ПМР;блочный;31;17;6;1447.2
C_513   ;СМР;кирпичный;31;15;8;1309.5
C_537   ;КМР;каркасный;31.6;17.7;7;1439.1
C_538   ;ЗИП;кирпичный;32;18;9;1250.1
C_539   ;Мосты;кирпичный;32;17;6;1209.6
C_540   ;Мосты;кирпичный;32;18;6;1188
C_541   ;ПМР;каркасный;32;18;7;1401.3
C_542   ;ПМР;каркасный;32;18;7;1188
C_543   ;СМР;каркасный;32;18;7;1039.5
C_565   ;СМР;кирпичный;33;18;6;1228.5
C_582   ;КМР;каркасный;34;19.5;7;1188
C_583   ;Мосты;кирпичный;34;17;6;1150.2
C_584   ;Мосты;кирпичный;34;17;6;1134
C_585   ;Мосты;кирпичный;34;17;12;1099.98
C_586   ;ПМР;каркасный;34;17;6;918
C_587   ;Рос-кая;кирпичный;34;17;7;1099.98
C_588   ;СМР;кирпичный;34;19;7;1250.1
C_606   ;КМР;блочный;35;27;5;1485
C_607   ;ПМР;каркасный;35;18;7;1512
C_617   ;КМР;каркасный;36;18.7;10.8;1250.1
C_618   ;Мосты;кирпичный;36;18;10;1179.9
C_630   ;Рос-кая;кирпичный;37;24;5;599.4
C_642   ;СМР;каркасный;39;25;6;1649.7
C_650   ;ЗИП;кирпичный;40;20;10;1390.5
C_651   ;ПМР;каркасный;40;23;10;1099.98
C_652   ;СМР;каркасный;40;20;10;1449.9
